ID_PARQUE,NOMBRE_PAR,CODIGOPOT,TIPOPARQUE,LOCNOMBRE,Long,Lat,Canario
10-174,CIUDADELA COLSUBSIDIO,,PARQUE VECINAL,ENGATIVA,-74.10763776651282342 ,4.72303459396311354,PM2.5_BOG_ENG_Tibabuyes_E08
09-200,"URBANIZACION CIUDAD HAYUELOS ETAPAS II,III, IV Y V",,PARQUE VECINAL,FONTIBON,-74.12874891686718115 ,4.66080582755312278,PM2.5_BOG_FON_Hayuelos_E01
10-171,PARQUE JUAN AMARILLO,,PARQUE ZONAL,ENGATIVA,-74.11166613355642596 ,4.72887765579171582,PM2.5_BOG_ENG_Tibabuyes_E08
11-159,DESARROLLO JULIO FLORES,,PARQUE VECINAL,SUBA,-74.07864196686745117 ,4.68842862202931787,PM2.5_BOG_ENG_EstacionFerias
13-096,"URBANIZACION CIUDAD SALITRE SECTOR III SM III-12, SM III-13, SM III-18",,PARQUE VECINAL,TEUSAQUILLO,-74.1005376984882389 ,4.64309435489507649,PM2.5_BOG_TEU_Salitre_E02
08-241,CAYETANO CANIZARES,PM22,PARQUE METROPOLITANO,KENNEDY,-74.16170042096130999 ,4.62484405643648344,PM2.5_BOG_KEN_EstacionKennedy
06-063,EL TUNAL,PM8,PARQUE METROPOLITANO,TUNJUELITO,-74.13429570171037142 ,4.57189369236422838,PM2.5_BOG_TUN_EstacionTunal
10-174,CIUDADELA COLSUBSIDIO,,PARQUE VECINAL,ENGATIVA,-74.10621883017502398 ,4.72216034185842748,PM2.5_BOG_ENG_Tibabuyes_E08
10-192,TABORA,PZ26,PARQUE ZONAL,ENGATIVA,-74.09728704974504865 ,4.69329650384808161,PM2.5_BOG_ENG_SML_E05
10-174,CIUDADELA COLSUBSIDIO,,PARQUE VECINAL,ENGATIVA,-74.10481442196990542 ,4.72167881809644552,PM2.5_BOG_ENG_Tibabuyes_E08
10-174,CIUDADELA COLSUBSIDIO,,PARQUE VECINAL,ENGATIVA,-74.10920524537270637 ,4.72239284934080938,PM2.5_BOG_ENG_Tibabuyes_E08
10-174,CIUDADELA COLSUBSIDIO,,PARQUE VECINAL,ENGATIVA,-74.10827176376342607 ,4.72251607176775767,PM2.5_BOG_ENG_Tibabuyes_E08
10-174,CIUDADELA COLSUBSIDIO,,PARQUE VECINAL,ENGATIVA,-74.109640239493487 ,4.72164314293293774,PM2.5_BOG_ENG_Tibabuyes_E08
10-187,BONANZA,PZ10,PARQUE ZONAL PROPUESTO,ENGATIVA,-74.08971070122021274 ,4.69228510167396973,PM2.5_BOG_ENG_SML_E05
